id,Probability_of_Exited
165034,0.016898523173814708
165035,0.48614731316992654
165036,0.11574879653975256
165037,0.25286062214858807
165038,0.3636946347260046
165039,0.044884065268001885
165040,0.10443059506662206
165041,0.11908141265162112
165042,0.5643132813850571
165043,0.029705711649827094
165044,0.07815234954362199
165045,0.17828108636158654
165046,0.013414880107975475
165047,0.1684817682405932
165048,0.5361900903024811
165049,0.07876518494407504
165050,0.05517734455411488
165051,0.20887579839585066
165052,0.09118232872224508
165053,0.27540624725865426
165054,0.038375841724043486
165055,0.1433375720065039
165056,0.24232337778515733
165057,0.041527476349498244
165058,0.33281377937180967
165059,0.39864497954008604
165060,0.6708515003549957
165061,0.23939794550629329
165062,0.1723963889779891
165063,0.13771255571218033
165064,0.046500618676359684
165065,0.08267738124980147
165066,0.12337011999695927
165067,0.20868737997543044
165068,0.14229039783522954
165069,0.03708486434380646
165070,0.40744462856911623
165071,0.10739892674624316
165072,0.2923149722835621
165073,0.6075469971887065
165074,0.34897863355313613
165075,0.48220565548486427
165076,0.1262453737162881
165077,0.04655337028805083
165078,0.2700315697300385
165079,0.291646520076588
165080,0.03225363745526754
165081,0.022912931763570024
165082,0.017104858665173465
165083,0.38506154111639657
165084,0.12795002948932957
165085,0.02911979538368284
165086,0.06358048058479275
165087,0.22039523127848826
165088,0.15029611968854548
165089,0.1948999376361077
165090,0.2872342178929562
165091,0.07120463178740957
165092,0.0645986827456287
165093,0.06838752111373278
165094,0.05546988096744586
165095,0.27533321050813636
165096,0.1640948100109093
165097,0.25776850280619745
165098,0.07574304626745554
165099,0.02687648019904062
165100,0.6440710210669501
165101,0.015815911681750595
165102,0.09957289501025156
165103,0.08700833823511823
165104,0.24937418128767194
165105,0.43396568000197666
165106,0.3617382468560331
165107,0.09490704247030991
165108,0.05212467142512175
165109,0.32538741844108476
165110,0.05044782191997244
165111,0.17593046068540932
165112,0.1944015250336825
165113,0.1357273228540956
165114,0.09796469416722202
165115,0.05120627092345169
165116,0.3439306350119446
165117,0.17575995400736946
165118,0.3204915354910752
165119,0.23354946636276672
165120,0.32158033244772455
165121,0.3410695854431826
165122,0.2353641935004827
165123,0.12093800172703063
165124,0.40948936518083684
165125,0.09404558764578522
165126,0.05289277553417223
165127,0.06714061888902795
165128,0.07802566493804527
165129,0.05729960730047062
165130,0.07563862766233359
165131,0.03256201895922476
165132,0.1795701053722421
165133,0.3307530833729449
165134,0.05233527167587113
165135,0.16702383197712106
165136,0.02616891197169952
165137,0.3430785964033302
165138,0.5187274038078115
165139,0.4736917607036615
165140,0.3336821430514503
165141,0.0997957355502269
165142,0.030488828540673505
165143,0.25695532396257487
165144,0.11212312874106224
165145,0.19317472876832648
165146,0.07804805992789562
